transaction_id,source_file,account_name,fiscal_year,transaction_date,category,description,transaction_type,addition,deduction,amount_signed,ending_balance,notes
1,Shelbi Meissner Arts for all Grant_ 10k.xlsx,Shelbi's Arts for All Award - US010200 Indigenous Futures Lab,FY25,,Award funding,Initial Arts for All award budget,funding,10000.0,0,10000.0,10000.0,
2,Shelbi Meissner Arts for all Grant_ 10k.xlsx,Shelbi's Arts for All Award - US010200 Indigenous Futures Lab,FY25/FY26,2025-01-22,Program supplies / events,Fabric order,expense,0,455.63,-455.63,9544.37,"Purchased from Fire Mountain Fabrics & Supply on Jan 22, 2025"
3,Shelbi Meissner Arts for all Grant_ 10k.xlsx,Shelbi's Arts for All Award - US010200 Indigenous Futures Lab,FY25/FY26,2025-03-25,Program supplies / events,Sewing supply list,expense,0,687.27,-687.27,8857.1,"Purchased from amazon on Mar 25, 2025"
4,Shelbi Meissner Arts for all Grant_ 10k.xlsx,Shelbi's Arts for All Award - US010200 Indigenous Futures Lab,FY25/FY26,2025-04-21,Program supplies / events,Jay Lea Richardson Grebe: Earth Day Visit - April 30,expense,0,367.16,-367.16,8489.94,Hotel = $166.92 + travel = $200.24
5,Shelbi Meissner Arts for all Grant_ 10k.xlsx,Shelbi's Arts for All Award - US010200 Indigenous Futures Lab,FY25/FY26,2025-04-21,Program supplies / events,Case Watkins: Earth Day Visit - April 30,expense,0,364.44,-364.44,8125.5,Hotel = $166.92 + travel = $174.82 + road toll = $22.70
6,Shelbi Meissner Arts for all Grant_ 10k.xlsx,Shelbi's Arts for All Award - US010200 Indigenous Futures Lab,FY25/FY26,2025-04-21,Program supplies / events,Danielle Purifoy: Earth Day Visit - April 30,expense,0,0.0,-0.0,8125.5,"Had a family emergency, attended the panel virtually."
7,Shelbi Meissner Arts for all Grant_ 10k.xlsx,Shelbi's Arts for All Award - US010200 Indigenous Futures Lab,FY25/FY26,2026-03-12,Program supplies / events,Stipend to WGSS graduate students for their participation in the admissions process,expense,0,1500.0,-1500.0,6625.5,Basanth Babu Lidia Garcia Barelleza Estella Jiang Rahsaan Gilliam Hillary Collins Sam Cassanova
8,Shelbi's Mpower award tracking sheet.xlsx,Shelbi's Mpower ARHU Grant - US010200,FY26,,Award funding,Mpower ARHU grant award budget,funding,50000.0,0,50000.0,50000.0,"Keep like 20k for student interns/overloads and some honoraria for Elders, but the other 30k we should spend on WGSS needs by end of year. Must be spent by June 30…"
9,WGSS Research & Travel screenshot,WGSS Research & Travel Account - US008379 (2957608),FY24,2023-07-30,Research & travel,FY24 annual research funds from WGSS to Faculty,funding,1500.0,0,1500.0,1500.0,
10,WGSS Research & Travel screenshot,WGSS Research & Travel Account - US008379 (2957608),FY25,2024-06-06,Research & travel,FY25 annual research funds from WGSS to Faculty,funding,1500.0,0,1500.0,3000.0,
11,WGSS Research & Travel screenshot,WGSS Research & Travel Account - US008379 (2957608),FY25,2024-10-16,Research & travel,Fee for speaking at UMB virtually on Indigenous Centered Research,funding,300.0,0,300.0,3300.0,11/18/2024 from 12 - 1 PM
12,WGSS Research & Travel screenshot,WGSS Research & Travel Account - US008379 (2957608),FY25,2025-04-23,Research & travel,2024 ARHU Faculty Funds,funding,5000.0,0,5000.0,8300.0,
13,WGSS Research & Travel screenshot,WGSS Research & Travel Account - US008379 (2957608),FY26,2025-07-01,Research & travel,FY26 annual research funds from WGSS to Faculty,funding,1500.0,0,1500.0,9800.0,
14,WGSS Research & Travel screenshot,WGSS Research & Travel Account - US008379 (2957608),FY26,2026-04-06,Research & travel,DCQS supplies; Amazon order by Elece,expense,0,655.35,-655.35,9144.65,
